SpecObjID ObjID Red zSpec extinctionU extinctionG extinctionR extinctionI extinctionZ uberColorU uberColorG uberColorR uberColorI ModelMagErr_U ModelMagErr_G ModelMagErr_R ModelMagErr_I ModelMagErr_Z
80725178207698944 587722981740642387 0 0.0964386 0.1117263 0.08220717 0.05962349 0.04521069 0.03205494 1.565445 0.8681717 0.4554806 0.3431625 0.06488337 0.009261579 0.00589464 0.00587962 0.01231184
82412353366261760 587722981745230037 0 0.0965089 0.128468 0.09452551 0.06855778 0.05198529 0.03685822 1.689741 0.9181175 0.4561138 0.3187599 0.05755061 0.00851425 0.00564612 0.005506414 0.01150404
82695481615974400 587722981746344056 0 0.0966521 0.104769 0.07708803 0.05591067 0.04239536 0.03005884 1.823576 0.8973808 0.4097595 0.3163815 0.06819925 0.009518717 0.006200794 0.006228601 0.01327815
78472953217417216 587722982271221856 0 0.0894065 0.2405182 0.176971 0.1283541 0.09732707 0.06900611 1.760328 0.7942791 0.3985519 0.3060846 0.04142438 0.005366222 0.004117892 0.003953874 0.007713905
78472952516968448 587722982271549518 0 0.0644114 0.1892138 0.1392217 0.1009752 0.07656643 0.05428655 1.912222 0.8829174 0.4236069 0.3143053 0.04027414 0.01368867 0.003742295 0.003518262 0.00639713
79034665389785088 587722982273122442 0 0.0257262 0.1727291 0.1270925 0.09217805 0.06989583 0.04955702 1.588823 0.6374283 0.2866869 0.2666683 0.01857239 0.003537705 0.003029622 0.003039957 0.00537708
79597813960278016 587722982273974290 0 0.0223735 0.1328193 0.09772716 0.07087989 0.05374608 0.03810664 0.9442253 0.3283577 0.1847115 -0.05772495 0.02066123 0.004445354 0.004568873 0.005446769 0.01725096
80161987819995136 587722982275940532 0 0.134802 0.1178577 0.08671861 0.06289557 0.04769181 0.03381409 1.46489 0.8363247 0.3798199 0.3294487 0.08804875 0.01131451 0.008132178 0.008262537 0.01822113
80443407113125888 587722982276661372 0 0.126333 0.1290637 0.09496381 0.06887568 0.05222634 0.03702913 2.115227 1.101664 0.4089527 0.3799877 0.1485345 0.01101431 0.006655829 0.00650903 0.01361033
80443406337179648 587722982277185608 0 0.0774943 0.1308506 0.09627862 0.06982929 0.05294943 0.03754181 2.057091 0.9587154 0.4143524 0.3283081 0.05943529 0.005701761 0.003972434 0.00388554 0.00743357
80725178421608448 587722982277251150 0 0.0990378 0.1329421 0.09781752 0.07094542 0.05379577 0.03814187 1.91087 1.011503 0.4465904 0.3716373 0.08378512 0.008095047 0.00528551 0.004936011 0.0100654
80725178434191360 587722982277251171 0 0.0928569 0.1308565 0.096283 0.06983246 0.05295184 0.03754351 1.458403 0.7697659 0.4357319 0.2584572 0.08298337 0.01087387 0.008138029 0.007662271 0.01819495
80443406039384064 587722982277316662 0 0.114148 0.1301645 0.09577384 0.06946318 0.05267182 0.03734498 1.121855 0.5162373 0.307457 0.178545 0.04417465 0.007576031 0.007041808 0.007423195 0.02012227
81288131835330560 587722982279217310 0 0.087032 0.1371083 0.100883 0.07316875 0.05548165 0.03933718 1.869219 0.9572449 0.5261002 0.393261 0.1490735 0.01269791 0.008335552 0.007752871 0.01694055
81006755420569600 587722982278758502 0 0.119801 0.1079045 0.07939508 0.05758393 0.04366415 0.03095843 1.538687 0.8759365 0.4336796 0.388979 0.08618274 0.01004747 0.007139572 0.006988539 0.0149365
