uberColorU uberColorG uberColorR uberColorI
1.10264 0.9089146 0.448904 0.3518944
1.849884 0.9322109 0.4329739 0.3327122
1.832361 0.8881912 0.3835526 0.3304367
1.967455 0.9267559 0.4106236 0.3297443
1.759706 1.036077 0.4559135 0.3727341
1.449995 0.9381771 0.4398441 0.2921658
1.952436 1.274746 0.5140285 0.3351479
1.351913 0.5300932 0.3191023 0.1778412
1.530979 0.6997929 0.3571472 0.2750111
1.802567 1.098827 0.4554043 0.3483219
1.567858 0.7488861 0.3837566 0.2475452
0.9959507 0.5861874 0.3636703 0.1638107
1.702259 0.9537201 0.4375973 0.3223686
1.143211 0.4502487 0.2559996 0.1623821
1.726246 0.8645 0.384306 0.278265
1.055666 0.4720783 0.3288746 0.1814108
1.1882 0.4498158 0.3094616 0.1800842
1.031713 0.4013691 0.3185959 0.0268383
1.489775 0.7868309 0.4213839 0.3086414
1.497646 0.6773796 0.2966156 0.2361622
1.557281 0.8054867 0.4102201 0.3103981
1.802137 0.8441448 0.3952446 0.306551
1.01322 0.3061161 0.2630291 0.07188797
1.922413 1.101688 0.5418797 0.443327
1.620083 0.8401527 0.4116058 0.3302402
1.761333 0.9696789 0.401144 0.3355217
0.969326 0.5040989 0.3115368 0.1953468
2.007677 0.8797855 0.400425 0.3539238
1.050217 0.3884335 0.2057915 0.05388832
1.50849 0.7757473 0.4041519 0.3219261
1.904053 0.9285793 0.4397774 0.3407383
2.653677 1.222702 0.4495373 0.4018459
1.786818 0.9612713 0.429987 0.320219
1.274578 0.6112366 0.3991776 0.2535982
1.913633 0.9325676 0.4113483 0.3635426
1.89609 0.9664268 0.4905529 0.4081211
1.063459 0.4539356 0.2987022 0.08671188
0.9419289 0.4194012 0.2649574 0.1218967
2.04282 0.8884068 0.3829918 0.2847614
1.760374 0.7391453 0.2956905 0.2473087
1.167236 0.4826145 0.2980194 0.2141228
1.96447 0.9357719 0.4027061 0.3276138
1.438831 0.7340908 0.454134 0.3204403
1.857216 1.245895 0.4794235 0.3466816
1.240082 0.6012325 0.4747982 0.2024794
