uberColorU uberColorG uberColorR uberColorI
1.249187 0.7455692 0.3652954 0.2697258
1.824987 1.027191 0.4335918 0.3528938
1.269583 0.3304348 0.1570492 0.1192322
1.292139 0.5687008 0.2894783 0.1637707
1.467972 0.883646 0.3923378 0.2937508
1.31665 0.9430466 0.4576836 0.2661057
1.626255 0.7590408 0.3623657 0.2826958
1.073015 0.3807602 0.3439617 0.1530075
1.712898 0.9313984 0.402462 0.3458118
1.731726 1.046682 0.4538345 0.3675308
1.16078 0.5231609 0.3318462 0.1501369
1.746426 0.8815002 0.4402122 0.3210239
2.081888 1.223984 0.486145 0.3350029
1.658728 0.8074894 0.3794613 0.2944374
1.18829 0.7994576 0.4236069 0.238615
1.519123 0.9530773 0.4465714 0.3377476
1.197548 0.6173649 0.3442707 0.2183266
1.818523 0.96595 0.4120045 0.319479
1.701084 0.838522 0.47925 0.3490906
1.962357 0.9054928 0.4128094 0.3488979
1.817305 0.8507023 0.3956699 0.3286934
1.7939 0.9551754 0.4132671 0.2751541
1.236235 0.4197521 0.1956654 0.1060085
1.27603 0.5930996 0.3525295 0.2565575
1.817362 0.874567 0.4041328 0.3020477
1.284657 0.6037636 0.311121 0.2430696
1.331293 0.829731 0.3858833 0.3392544
1.254072 0.8910046 0.4122028 0.2577629
1.826593 1.096672 0.4332409 0.2728329
1.94277 1.238913 0.4690285 0.3447857
1.877295 0.8618393 0.3523216 0.2590675
1.78635 1.005333 0.4444046 0.3196144
1.86628 0.9002628 0.4688511 0.3151474
1.162678 0.7375755 0.4006596 0.2264576
1.661798 0.9395123 0.4928379 0.4002876
1.636377 0.8660755 0.4386578 0.3177338
1.627054 0.7425594 0.4106789 0.3296318
1.937351 1.03829 0.4091949 0.3431091
1.725683 0.8547192 0.4863911 0.352582
1.172344 0.509346 0.3094406 0.1749096
1.093008 0.6584778 0.3330402 0.1334457
1.24761 0.4955311 0.3041878 0.2196865
1.139414 0.6487389 0.3417168 0.2731743
1.56666 1.060558 0.5009232 0.3853054
1.348822 0.6109715 0.355629 0.2622242
2.066164 0.9916954 0.4111195 0.3490906
