SpecObjID ObjID Red zSpec extinctionU extinctionG extinctionR extinctionI extinctionZ uberColorU uberColorG uberColorR uberColorI ModelMagErr_U ModelMagErr_G ModelMagErr_R ModelMagErr_I ModelMagErr_Z
76221193262202880 588848900437573906 0 0.185018 0.1536985 0.1130899 0.08202221 0.06219496 0.044097 1.985489 1.127584 0.4595375 0.29562 0.1212796 0.01099869 0.006741888 0.006666686 0.01798589
76221192943435776 588848900437442727 0 0.0329166 0.1391856 0.1024115 0.07427733 0.05632225 0.03993318 1.653406 0.7284088 0.3612471 0.2775698 0.03091599 0.004714139 0.003861203 0.003953465 0.009518048
75094095428583424 588848900971954340 0 0.0618979 0.6548652 0.4818436 0.3494732 0.2649949 0.1878847 1.779192 0.9392223 0.4441986 0.4181442 0.1459382 0.01437091 0.008867582 0.009496558 0.01778473
76502557022748672 588848900975558813 0 0.0711043 0.2132848 0.1569329 0.1138208 0.0863069 0.06119267 1.601009 0.7910709 0.400959 0.2978506 0.04215519 0.006318557 0.004800902 0.005071193 0.01037598
76784281145311232 588848900976214246 0 0.174913 0.2737595 0.2014296 0.1460936 0.1107783 0.07854322 1.189339 0.7272263 0.4135628 0.2546406 0.04184671 0.009925614 0.008271454 0.009018172 0.01554757
77065824652754944 588848900977066111 0 0.180811 0.3157572 0.2323312 0.168506 0.127773 0.09059262 1.675741 1.070473 0.4661446 0.3247995 0.109561 0.01175709 0.007153159 0.007486973 0.01658429
78754788275126272 587722981735530584 0 0.156463 0.2404117 0.1768926 0.1282973 0.09728395 0.06897554 2.166389 1.166521 0.4821301 0.3859501 0.1720586 0.01388275 0.006784963 0.006418526 0.01359453
79316149744959488 587722981736448103 0 0.145872 0.1437385 0.1057614 0.076707 0.0581646 0.04123942 2.204716 1.094225 0.491354 0.2909813 0.1376355 0.01262099 0.006703303 0.006182686 0.01312589
80443406555283456 587722981739987074 0 0.146695 0.1088076 0.08005963 0.05806592 0.04402963 0.03121755 2.104641 1.135046 0.4568481 0.3194885 0.1906017 0.01663361 0.00837294 0.008203827 0.01869212
80443406081327104 587722981740249220 0 0.171701 0.1588265 0.116863 0.0847588 0.06427003 0.04556825 2.734325 1.058239 0.4633026 0.2815647 0.2826593 0.01441444 0.007391562 0.00750672 0.01637313
81006755609313280 587722981741887707 0 0.0314936 0.1073964 0.07902128 0.05731282 0.04345858 0.03081267 1.109118 0.3767834 0.184679 0.04485703 0.05414733 0.01151172 0.01119557 0.01368709 0.04099744
82132247800446976 587722981744836744 0 0.171941 0.2093225 0.1540175 0.1117064 0.08470354 0.06005587 1.249968 0.845314 0.4062958 0.264904 0.04926275 0.009427577 0.006033767 0.006179743 0.01449347
82695480890359808 587722981746671877 0 0.0836017 0.1048924 0.07717884 0.05597653 0.04244531 0.03009425 1.783791 0.8342571 0.3828754 0.2704887 0.04884415 0.00717423 0.005239248 0.00520167 0.01035802
82695481280430080 587722981746475096 0 0.184232 0.1005718 0.07399978 0.05367082 0.04069696 0.02885465 1.986439 1.299984 0.4863815 0.2576504 0.1667652 0.01635041 0.007329766 0.006919738 0.01566709
82976922539130880 587722981746933948 0 0.202491 0.1172367 0.08626166 0.06256415 0.0474405 0.03363591 1.961428 1.280218 0.4979019 0.3216991 0.1453906 0.01467415 0.006848782 0.006616191 0.01463747
82695481116852224 587722981746540704 0 0.083065 0.09473557 0.06970553 0.05055626 0.03833529 0.02718019 1.539896 0.7569447 0.4659424 0.2744503 0.04100044 0.007381449 0.005501089 0.005424695 0.01084055
78191512168431616 587722982270763198 0 0.0830139 0.2123307 0.1562309 0.1133117 0.0859208 0.06091892 1.64011 0.8156271 0.4084396 0.2983227 0.03299653 0.004551578 0.003543517 0.003413371 0.006588021
78472952714100736 587722982271483931 0 0.0660063 0.2021159 0.1487149 0.1078605 0.08178733 0.05798824 1.839743 0.5442467 0.4103241 0.1195049 0.09938044 0.008878869 0.007974496 0.007920532 0.02195012
79034666509664256 587722982272204953 0 0.108604 0.2782872 0.2047611 0.1485098 0.1126105 0.07984225 1.770443 0.9774265 0.3934975 0.3384819 0.09885352 0.0102124 0.00638681 0.006135216 0.01302845
80161987459284992 587722982276202625 0 0.180499 0.1100326 0.08096093 0.05871962 0.04452531 0.031569 1.816608 1.101576 0.4478436 0.3403358 0.1432073 0.01388426 0.008150588 0.00788842 0.01843756
80161987497033728 587722982276333627 0 0.121572 0.1173878 0.08637279 0.06264476 0.04750162 0.03367924 1.75148 0.9778595 0.4213371 0.31917 0.1128365 0.0109184 0.006698186 0.006559819 0.01516899
81006756469145600 587722982278168672 0 0.128557 0.1055423 0.07765702 0.05632335 0.04270829 0.03028071 1.785509 1.018667 0.4483166 0.4038277 0.131508 0.01227482 0.008060614 0.007695846 0.01653734
81006755403792384 587722982278758539 0 0.118509 0.1121481 0.08251751 0.05984858 0.04538137 0.03217595 1.02993 0.5608845 0.3461895 0.1973877 0.04686775 0.00856416 0.007529873 0.007870446 0.0202834
81850828436013056 587722982281248961 0 0.0720877 0.1174339 0.08640672 0.06266936 0.04752028 0.03369247 1.764734 0.8260689 0.3732281 0.2828598 0.05947701 0.00668772 0.005023974 0.004967385 0.01078258
82695481930547200 587722982282821690 0 0.0710636 0.1370686 0.1008538 0.07314756 0.05546558 0.03932579 1.381182 0.5009327 0.3039169 0.2139549 0.07496253 0.01189164 0.01075099 0.01225385 0.02741788
82412352451903488 587722982282887277 0 0.0828483 0.1393789 0.1025536 0.07438046 0.05640045 0.03998862 1.792877 0.966485 0.4587536 0.3270006 0.03128628 0.003896787 0.00294417 0.002830961 0.005001097
82976922379747328 587722982283935800 0 0.0829678 0.101791 0.07489686 0.05432146 0.04119032 0.02920445 1.105921 0.4146976 0.2665443 0.1421127 0.04938674 0.008807747 0.008281088 0.01055371 0.02686804
78754789386616832 587722982808748192 0 0.0989422 0.2007082 0.1476792 0.1071093 0.08121771 0.05758437 2.035807 0.9578152 0.4820528 0.3838758 0.08806174 0.007636816 0.005054757 0.004797862 0.01041217
79034666501275648 587722982809469025 0 0.0396773 0.1995446 0.146823 0.1064883 0.08074687 0.05725054 0.898056 0.1914539 0.2161789 0.004341125 0.01881809 0.004731646 0.004899886 0.005527931 0.01669127
